lexeme: =		type: =		line number: 41
lexeme: number		type: id		line number: 41
lexeme: +		type: +		line number: 41
lexeme: 48		type: num		line number: 41
lexeme: ;		type: ;		line number: 41
lexeme: }		type: }		line number: 42
lexeme: else		type: else		line number: 42
lexeme: {		type: {		line number: 42
lexeme: ascii		type: id		line number: 43
lexeme: =		type: =		line number: 43
lexeme: 47		type: num		line number: 43
lexeme: ;		type: ;		line number: 43
lexeme: }		type: }		line number: 44
lexeme: ;		type: ;		line number: 44
lexeme: return		type: return		line number: 45
lexeme: (		type: (		line number: 45
lexeme: ascii		type: id		line number: 45
lexeme: )		type: )		line number: 45
lexeme: ;		type: ;		line number: 45
lexeme: }		type: }		line number: 46
lexeme: ;		type: ;		line number: 46
lexeme: int		type: int		line number: 48
lexeme: charToNum		type: id		line number: 48
lexeme: (		type: (		line number: 48
lexeme: int		type: int		line number: 48
lexeme: char		type: id		line number: 48
lexeme: )		type: )		line number: 48
lexeme: {		type: {		line number: 48
lexeme: int		type: int		line number: 49
lexeme: number		type: id		line number: 49
lexeme: ;		type: ;		line number: 49
lexeme: number		type: id		line number: 50
lexeme: =		type: =		line number: 50
lexeme: char		type: id		line number: 50
lexeme: -		type: -		line number: 50
lexeme: 48		type: num		line number: 50
lexeme: ;		type: ;		line number: 50
lexeme: return		type: return		line number: 51
lexeme: (		type: (		line number: 51
lexeme: number		type: id		line number: 51
lexeme: )		type: )		line number: 51
lexeme: ;		type: ;		line number: 51
lexeme: }		type: }		line number: 52
lexeme: ;		type: ;		line number: 52
